YEAR,MO,DY,HR,WS10M
2023,3,10,17,2.51
2023,3,10,18,2.5
2023,3,10,19,2.34
2023,3,10,20,2.1
2023,3,10,21,1.76
2023,3,10,22,1.2
2023,3,10,23,0.82
2023,3,11,0,0.8
2023,3,11,1,0.94
2023,3,11,2,1.13
2023,3,11,3,1.22
2023,3,11,4,1.29
2023,3,11,5,1.39
2023,3,11,6,1.31
2023,3,11,7,1.21
2023,3,11,8,1.23
2023,3,11,9,1.23
2023,3,11,10,1.12
2023,3,11,11,0.97
2023,3,11,12,1.15
2023,3,11,13,0.88
2023,3,11,14,0.89
2023,3,11,15,1.15
2023,3,11,16,1.37
2023,3,11,17,1.53
2023,3,11,18,1.59
2023,3,11,19,1.53
2023,3,11,20,1.25
2023,3,11,21,0.75
2023,3,11,22,0.3
2023,3,11,23,0.32
2023,3,12,0,0.37
2023,3,12,1,0.46
2023,3,12,2,0.57
2023,3,12,3,0.63
2023,3,12,4,0.74
2023,3,12,5,0.81
2023,3,12,6,0.77
2023,3,12,7,0.72
2023,3,12,8,0.72
2023,3,12,9,0.94
2023,3,12,10,1.26
2023,3,12,11,1.38
2023,3,12,12,2.18
2023,3,12,13,2.95
2023,3,12,14,3.56
2023,3,12,15,3.93
2023,3,12,16,4.03
2023,3,12,17,3.95
2023,3,12,18,3.67
2023,3,12,19,3.35
2023,3,12,20,3.04
2023,3,12,21,2.63
2023,3,12,22,1.88
2023,3,12,23,1.23
2023,3,13,0,1.23
2023,3,13,1,1.26
2023,3,13,2,0.96
2023,3,13,3,0.68
2023,3,13,4,0.61
2023,3,13,5,0.57
2023,3,13,6,0.5
2023,3,13,7,0.57
2023,3,13,8,0.7
2023,3,13,9,0.8
2023,3,13,10,0.87
2023,3,13,11,1.01
2023,3,13,12,1.81
2023,3,13,13,2.71
2023,3,13,14,3.43
2023,3,13,15,3.73
2023,3,13,16,3.86
2023,3,13,17,3.8
2023,3,13,18,3.58
2023,3,13,19,3.32
2023,3,13,20,3.07
2023,3,13,21,2.61
2023,3,13,22,1.84
2023,3,13,23,1.17
2023,3,14,0,1.19
2023,3,14,1,1.18
2023,3,14,2,1.01
2023,3,14,3,0.76
2023,3,14,4,0.65
2023,3,14,5,0.46
2023,3,14,6,0.49
2023,3,14,7,0.76
2023,3,14,8,0.76
2023,3,14,9,0.61
2023,3,14,10,0.61
2023,3,14,11,0.84
2023,3,14,12,1.88
2023,3,14,13,2.77
2023,3,14,14,3.16
